"Reference","Value","Footprint","Datasheet","Qty"
"C1, C2","10u","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","2"
"C3","1U","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","1"
"C4-C6","100N","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","3"
"C7","33n","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","1"
"C8-C11","10n","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","4"
"C12, C13","12p","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","2"
"C14","1p","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","1"
"C15","1.5p","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","1"
"C16","4.7p","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","1"
"C17","2.2n","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","1"
"C18","100n","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","~","1"
"D1, D2","LED","LED_SMD:LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder","~","2"
"F1","100mA","Fuse:Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","1"
"FB1","100MHZ","Inductor_SMD:L_0805_2012Metric","~","1"
"J1","USB_B_Micro","Connector_USB:USB_Micro-B_Molex_47346-0001","~","1"
"J2","Conn_Coaxial","Connector_Coaxial:SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount"," ~","1"
"J3","Conn_02x05_Odd_Even","Connector_PinHeader_1.00mm:PinHeader_2x05_P1.00mm_Vertical","~","1"
"L1","8.2n","Inductor_SMD:L_0402_1005Metric_Pad0.77x0.64mm_HandSolder","~","1"
"L2","3.3n","Inductor_SMD:L_0402_1005Metric_Pad0.77x0.64mm_HandSolder","~","1"
"L3","2.7n","Inductor_SMD:L_0402_1005Metric_Pad0.77x0.64mm_HandSolder","~","1"
"R1, R2","2.2K","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","2"
"R3","10K","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","1"
"R4","22k","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","1"
"R5","1M","Resistor_SMD:R_0402_1005Metric_Pad0.72x0.64mm_HandSolder","~","1"
"U1","STM32L432KBUx","Package_DFN_QFN:QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm","https://www.st.com/resource/en/datasheet/stm32l432kb.pdf","1"
"U2","XC6206PxxxMR","Package_TO_SOT_SMD:SOT-23","https://www.torexsemi.com/file/xc6206/XC6206.pdf","1"
"U3","USBLC6-2SC6","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf","1"
"U4","nRF24L01P","Package_DFN_QFN:QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm","http://www.nordicsemi.com/eng/content/download/2726/34069/file/nRF24L01P_Product_Specification_1_0.pdf","1"
"Y1","16MHz","Crystal:Crystal_SMD_0603-2Pin_6.0x3.5mm","~","1"
